,8,9,10,11,12,13,14,15,16,17
1,32,90,241,215,265,244,232,143,48,2
3,30,195,364,418,552,534,455,327,160,21
3,90,266,114,71,551,558,407,362,193,23
2,42,210,351,529,535,126,125,148,82,18
0,9,22,34,55,122,174,186,125,61,10
3,99,284,445,551,596,580,503,358,127,22
3,88,283,447,553,602,590,509,376,198,31
3,91,286,451,553,593,572,480,351,181,27
3,95,288,442,550,585,503,361,186,111,46
3,91,279,442,559,604,579,500,372,195,35
4,94,274,436,549,602,590,508,377,203,39
4,95,271,448,429,595,596,519,327,191,41
3,88,161,275,505,576,536,447,363,139,19
3,33,130,87,54,126,125,82,82,78,32
1,19,91,199,139,591,241,112,173,17,9
0,14,43,81,79,140,78,134,96,20,6
4,114,319,487,604,658,647,566,429,246,54
4,148,308,478,593,534,477,560,414,235,55
1,13,54,149,248,417,239,302,222,84,11
6,73,237,365,541,541,570,430,276,193,19
4,131,319,484,601,658,653,540,410,252,60
5,133,307,485,602,667,634,559,444,259,49
4,124,323,433,576,591,251,206,34,33,13
3,14,55,101,101,231,140,158,80,58,17
5,128,329,494,618,669,654,576,437,225,52
7,69,262,405,670,468,248,215,94,27,21
3,18,118,268,227,295,551,423,287,132,20
2,26,78,121,194,218,174,130,139,42,21
1,27,142,205,281,468,410,327,241,145,99
7,128,324,495,616,670,666,587,454,274,85
8,81,250,298,419,540,593,572,459,244,50
